Wavelength (micron)  Noise (photon/spectral_pixel)
       1.0321896       415.07385
       1.0322982       417.38652
       1.0324068       419.28251
       1.0325154       425.53668
       1.0326240       441.35998
       1.0327326       469.35307
       1.0328412       504.87228
       1.0329498       534.09464
       1.0330584       541.63791
       1.0331670       522.16586
       1.0332756       485.12175
       1.0333842       447.42420
       1.0334928       420.34490
       1.0336014       404.72479
       1.0337100       396.95431
       1.0338186       398.54200
       1.0339272       423.05259
       1.0340358       481.60862
       1.0341444       554.70722
       1.0342530       602.60196
       1.0343616       602.20470
       1.0344702       570.58780
       1.0345788       574.04177
       1.0346874       693.91974
       1.0347960       912.95862
       1.0349046       1118.8373
       1.0350132       1205.4513
       1.0351218       1130.8314
       1.0352304       938.04170
       1.0353390       741.83355
       1.0354476       658.55748
       1.0355562       679.82935
       1.0356648       705.98947
       1.0357734       680.34472
       1.0358820       604.95951
       1.0359906       515.92357
       1.0360992       452.43466
       1.0362078       424.38800
       1.0363164       415.63816
       1.0364250       412.46217
       1.0365336       411.69616
       1.0366422       417.28268
       1.0367508       431.11902
       1.0368594       446.67833
       1.0369680       464.91426
       1.0370766       539.94957
       1.0371852       791.96217
       1.0372938       1241.7926
       1.0374024       1740.5381
       1.0375110       2077.2049
       1.0376196       2101.7630
       1.0377282       1805.0605
       1.0378368       1319.8546
       1.0379454       847.31546
       1.0380540       547.70412
       1.0381626       442.82396
       1.0382712       427.87563
       1.0383798       429.17972
       1.0384884       430.50148
       1.0385970       438.37517
       1.0387056       465.67645
       1.0388142       504.18776
       1.0389228       525.85482
       1.0390314       526.79510
       1.0391400       525.24313
       1.0392486       523.86524
       1.0393572       519.83948
       1.0394658       543.70489
       1.0395744       670.71317
       1.0396830       923.56493
       1.0397916       1202.8162
       1.0399002       1371.2728
       1.0400088       1344.5810
       1.0401174       1134.7323
       1.0402260       842.48817
       1.0403346       601.42870
       1.0404432       484.47149
       1.0405518       452.81182
       1.0406604       445.31873
       1.0407690       442.28627
       1.0408776       445.27355
       1.0409862       456.79351
       1.0410948       473.42707
       1.0412034       488.36471
       1.0413120       497.32973
       1.0414206       501.56352
       1.0415292       521.31837
       1.0416378       630.30376
       1.0417464       929.44502
       1.0418550       1405.2980
       1.0419636       1901.5476
       1.0420722       2211.1401
       1.0421808       2193.9965
       1.0422894       1857.2378
       1.0423980       1354.7174
       1.0425066       905.88936
       1.0426152       657.06779
       1.0427238       574.14584
       1.0428324       557.20587
       1.0429410       571.59518
       1.0430496       599.68032
       1.0431582       611.93480
       1.0432668       589.62917
       1.0433754       539.67596
       1.0434840       486.27572
       1.0435926       449.95924
       1.0437012       432.13246
       1.0438098       423.65720
       1.0439184       419.04115
       1.0440270       416.82946
       1.0441356       416.83383
       1.0442442       418.05677
       1.0443528       417.98927
       1.0444614       416.40090
       1.0445700       416.78956
       1.0446786       423.94451
       1.0447872       446.76698
       1.0448958       514.36522
       1.0450044       674.19844
       1.0451130       916.48319
       1.0452216       1144.7046
       1.0453302       1247.2042
       1.0454388       1170.6356
       1.0455474       950.32902
       1.0456560       690.08179
       1.0457646       500.81860
       1.0458732       419.57861
       1.0459818       398.66263
       1.0460904       395.27251
       1.0461990       396.12170
       1.0463076       398.38038
       1.0464162       404.15438
       1.0465248       419.48041
       1.0466334       463.96871
       1.0467420       601.07179
       1.0468506       898.74609
       1.0469592       1306.7040
       1.0470678       1668.4082
       1.0471764       1824.5741
       1.0472850       1704.9359
       1.0473936       1364.3895
       1.0475022       952.72566
       1.0476108       635.04532
       1.0477194       487.25187
       1.0478280       446.36062
       1.0479366       433.77151
       1.0480452       424.77488
       1.0481538       416.56324
       1.0482624       411.16826
       1.0483710       409.55736
       1.0484796       412.17178
       1.0485882       423.17928
       1.0486968       448.50933
       1.0488054       486.46355
       1.0489140       523.00431
       1.0490226       541.36490
       1.0491312       535.23979
       1.0492398       510.50512
       1.0493484       476.77741
       1.0494570       442.68549
       1.0495656       417.80565
       1.0496742       409.25015
       1.0497828       415.94396
       1.0498914       435.09024
       1.0500000       462.14477
       1.0501086       482.77248
       1.0502172       483.71750
       1.0503258       468.39249
       1.0504344       452.93315
       1.0505430       448.15544
       1.0506516       454.24022
       1.0507601       483.80020
       1.0508687       574.90768
       1.0509773       735.18577
       1.0510859       899.80951
       1.0511945       985.52883
       1.0513031       951.21072
       1.0514117       821.30667
       1.0515203       674.38851
       1.0516289       585.86457
       1.0517375       556.94094
       1.0518461       541.24297
       1.0519547       515.28996
       1.0520633       483.72077
       1.0521719       461.44758
       1.0522805       479.78497
       1.0523891       599.85998
       1.0524977       838.05367
       1.0526063       1106.5935
       1.0527149       1281.5620
       1.0528235       1279.9939
       1.0529321       1101.9927
       1.0530407       829.69622
       1.0531493       583.37519
       1.0532579       447.68801
       1.0533665       407.81563
       1.0534751       401.72270
       1.0535837       400.44853
       1.0536923       399.52737
       1.0538009       398.76881
       1.0539095       396.42225
       1.0540181       392.43678
       1.0541267       390.10412
       1.0542353       391.30093
       1.0543439       393.81524
       1.0544525       396.33135
       1.0545611       401.36713
       1.0546697       408.46204
       1.0547783       413.80972
       1.0548869       416.35202
       1.0549955       419.16003
       1.0551041       429.87268
       1.0552127       454.35293
       1.0553213       485.39413
       1.0554299       508.84405
       1.0555385       530.60916
       1.0556471       594.02446
       1.0557557       701.76923
       1.0558643       755.99722
       1.0559729       685.51836
       1.0560815       545.98227
       1.0561901       449.35749
       1.0562987       420.79701
       1.0564073       415.98821
       1.0565159       412.17177
       1.0566245       409.93898
       1.0567331       417.06324
       1.0568417       434.70134
       1.0569503       453.97325
       1.0570589       471.08389
       1.0571675       501.79043
       1.0572761       567.22412
       1.0573847       654.17781
       1.0574933       714.42427
       1.0576019       709.13062
       1.0577105       641.21382
       1.0578191       552.41411
       1.0579277       486.85588
       1.0580363       454.31576
       1.0581449       441.53886
       1.0582535       440.48338
       1.0583621       459.76265
       1.0584707       520.48543
       1.0585793       628.86971
       1.0586879       760.52283
